Price,Close,High,Low,Open,Volume
Ticker,^IXF,^IXF,^IXF,^IXF,^IXF
Date,,,,,
2024-03-25,5585.83984375,5602.60009765625,5548.14013671875,5549.85986328125,0
2024-03-26,5559.02001953125,5605.759765625,5557.8798828125,5603.5498046875,0
2024-03-27,5645.6298828125,5645.6298828125,5580.83984375,5598.08984375,0
2024-03-28,5679.52001953125,5694.9501953125,5653.14013671875,5656.77001953125,0
2024-04-01,5595.759765625,5679.75,5594.58984375,5679.64013671875,0
2024-04-02,5537.83984375,5560.85986328125,5519.2001953125,5540.85009765625,0
2024-04-03,5546.6298828125,5568.72998046875,5521.7001953125,5523.47021484375,0
2024-04-04,5503.8798828125,5617.93994140625,5495.68994140625,5604.1201171875,0
2024-04-05,5526.97998046875,5549.14990234375,5489.60009765625,5493.2998046875,0
2024-04-08,5598.0,5615.18017578125,5558.35986328125,5571.52001953125,0
2024-04-09,5570.080078125,5626.10009765625,5540.06005859375,5618.68994140625,0
2024-04-10,5486.1298828125,5533.27978515625,5457.97021484375,5492.56005859375,0
2024-04-11,5502.6201171875,5514.509765625,5438.0498046875,5489.759765625,0
2024-04-12,5402.77978515625,5470.4599609375,5390.02978515625,5464.39013671875,0
2024-04-15,5316.2900390625,5466.8701171875,5302.759765625,5445.75,0
2024-04-16,5273.47021484375,5301.9599609375,5245.31982421875,5288.490234375,0
2024-04-17,5268.7900390625,5324.43017578125,5252.2998046875,5309.31982421875,0
2024-04-18,5293.06005859375,5338.02001953125,5275.10986328125,5293.7099609375,0
2024-04-19,5359.080078125,5371.06982421875,5303.89990234375,5315.43017578125,0
2024-04-22,5446.240234375,5470.580078125,5381.35009765625,5395.830078125,0
2024-04-23,5505.97998046875,5526.169921875,5443.830078125,5450.39013671875,0
2024-04-24,5489.169921875,5502.77001953125,5460.77978515625,5474.64990234375,0
2024-04-25,5445.509765625,5458.4599609375,5389.1298828125,5419.77001953125,0
2024-04-26,5450.47998046875,5461.52001953125,5433.330078125,5440.60986328125,0
2024-04-29,5407.9599609375,5461.419921875,5396.93994140625,5440.93017578125,0
2024-04-30,5337.08984375,5389.7001953125,5336.509765625,5377.91015625,0
2024-05-01,5384.06982421875,5464.68994140625,5332.259765625,5332.259765625,0
2024-05-02,5455.14990234375,5459.580078125,5392.77978515625,5440.259765625,0
2024-05-03,5485.47998046875,5505.7099609375,5448.31005859375,5498.75,0
2024-05-06,5547.240234375,5550.1201171875,5517.2998046875,5518.58984375,0
2024-05-07,5520.89990234375,5569.93994140625,5520.58984375,5559.8701171875,0
2024-05-08,5528.25,5529.75,5477.08984375,5481.8798828125,0
2024-05-09,5553.2001953125,5553.91015625,5517.56982421875,5538.419921875,0
2024-05-10,5522.18994140625,5570.0,5519.27001953125,5565.830078125,0
2024-05-13,5513.830078125,5567.240234375,5511.919921875,5549.580078125,0
2024-05-14,5553.66015625,5555.93994140625,5524.06005859375,5534.4501953125,0
2024-05-15,5599.919921875,5609.47021484375,5568.3701171875,5595.43017578125,0
2024-05-16,5581.2099609375,5602.669921875,5580.9501953125,5591.85986328125,0
2024-05-17,5628.2998046875,5628.89013671875,5595.6298828125,5614.47998046875,0
2024-05-20,5612.22998046875,5639.85986328125,5607.72998046875,5627.8798828125,0
2024-05-21,5628.52978515625,5637.2900390625,5612.27001953125,5620.2099609375,0
2024-05-22,5595.009765625,5634.7998046875,5578.5400390625,5610.81982421875,0
2024-05-23,5505.43994140625,5609.0400390625,5494.52978515625,5607.1201171875,0
2024-05-24,5599.240234375,5599.97998046875,5531.1298828125,5532.830078125,0
2024-05-28,5540.02001953125,5613.6201171875,5521.009765625,5601.919921875,0
2024-05-29,5457.830078125,5478.919921875,5444.68994140625,5478.830078125,0
2024-05-30,5495.16015625,5522.35009765625,5485.0498046875,5487.0400390625,0
2024-05-31,5507.8701171875,5532.7001953125,5458.490234375,5516.66015625,0
2024-06-03,5475.81005859375,5545.2099609375,5431.68994140625,5544.8798828125,0
2024-06-04,5452.6201171875,5482.64990234375,5445.259765625,5451.06005859375,0
2024-06-05,5470.169921875,5477.25,5423.330078125,5475.169921875,0
2024-06-06,5479.509765625,5493.06005859375,5459.14013671875,5468.52001953125,0
2024-06-07,5428.009765625,5496.83984375,5427.47021484375,5452.009765625,0
2024-06-10,5413.02978515625,5434.64990234375,5378.25,5395.080078125,0
2024-06-11,5367.08984375,5374.77978515625,5337.740234375,5373.75,0
2024-06-12,5432.58984375,5483.60986328125,5416.52001953125,5458.56982421875,0
2024-06-13,5368.27978515625,5416.91015625,5348.669921875,5415.08984375,0
2024-06-14,5318.3798828125,5339.58984375,5295.56982421875,5316.77978515625,0
2024-06-17,5363.8701171875,5363.8798828125,5286.72998046875,5299.509765625,0
2024-06-18,5364.16015625,5383.2900390625,5344.39013671875,5351.16015625,0
2024-06-20,5393.1298828125,5396.31982421875,5354.81982421875,5357.93017578125,0
2024-06-21,5369.85986328125,5372.91015625,5334.3798828125,5372.830078125,0
2024-06-24,5396.91015625,5423.93017578125,5364.83984375,5367.990234375,0
2024-06-25,5378.06982421875,5398.93017578125,5369.43994140625,5394.10986328125,0
2024-06-26,5371.830078125,5374.1201171875,5342.18994140625,5356.68994140625,0
2024-06-27,5408.8798828125,5408.8798828125,5366.08984375,5376.35009765625,0
2024-06-28,5445.89990234375,5459.0,5415.509765625,5427.740234375,0
2024-07-01,5439.740234375,5486.81982421875,5432.5498046875,5468.35009765625,0
2024-07-02,5469.240234375,5473.16015625,5431.1298828125,5434.18994140625,0
2024-07-03,5446.58984375,5482.169921875,5446.06982421875,5477.9501953125,0
2024-07-05,5410.58984375,5417.919921875,5387.60009765625,5417.58984375,0
2024-07-08,5393.39990234375,5439.08984375,5392.25,5432.08984375,0
2024-07-09,5414.47998046875,5438.81982421875,5385.85009765625,5400.18994140625,0
2024-07-10,5474.580078125,5475.39013671875,5425.27001953125,5425.7001953125,0
2024-07-11,5565.72021484375,5581.58984375,5515.509765625,5523.22998046875,0
2024-07-12,5599.6298828125,5623.580078125,5580.93017578125,5587.31005859375,0
2024-07-15,5731.5400390625,5751.27978515625,5648.16015625,5650.419921875,0
2024-07-16,5853.97998046875,5858.02001953125,5751.72021484375,5754.14990234375,0
2024-07-17,5863.2099609375,5886.93994140625,5815.35009765625,5817.77978515625,0
2024-07-18,5777.22021484375,5908.14013671875,5759.0,5855.009765625,0
2024-07-19,5784.60986328125,5803.52978515625,5757.64990234375,5788.22998046875,0
2024-07-22,5839.83984375,5843.6201171875,5751.77978515625,5795.93994140625,0
2024-07-23,5860.08984375,5897.10009765625,5823.43017578125,5827.77001953125,0
2024-07-24,5772.259765625,5888.02978515625,5768.91015625,5861.740234375,0
2024-07-25,5861.1298828125,5931.97021484375,5786.990234375,5789.490234375,0
2024-07-26,5936.8798828125,5939.1201171875,5894.10986328125,5896.0498046875,0
2024-07-29,5885.93017578125,5963.4599609375,5885.2099609375,5955.97998046875,0
2024-07-30,5913.2900390625,5949.39013671875,5896.56005859375,5922.68017578125,0
2024-07-31,5888.81005859375,5963.5498046875,5886.81005859375,5946.7900390625,0
2024-08-01,5750.490234375,5906.75,5724.68994140625,5893.8798828125,0
2024-08-02,5603.10986328125,5657.9599609375,5542.16015625,5647.58984375,0
2024-08-05,5427.0400390625,5486.85009765625,5321.47998046875,5371.47021484375,0
2024-08-06,5485.7001953125,5545.52001953125,5428.8798828125,5445.35009765625,0
2024-08-07,5466.89990234375,5572.830078125,5465.18017578125,5546.66015625,0
2024-08-08,5571.85986328125,5578.509765625,5508.9599609375,5515.35986328125,0
2024-08-09,5594.27978515625,5606.81982421875,5553.06982421875,5570.919921875,0
2024-08-12,5560.2001953125,5627.56982421875,5554.06982421875,5615.18994140625,0
2024-08-13,5629.16015625,5630.91015625,5567.1201171875,5594.7099609375,0
2024-08-14,5665.16015625,5668.91015625,5635.14990234375,5657.02001953125,0
2024-08-15,5730.8798828125,5767.06005859375,5722.52001953125,5736.14990234375,0
2024-08-16,5789.6298828125,5791.22998046875,5724.68994140625,5726.10009765625,0
2024-08-19,5829.1201171875,5829.56982421875,5793.240234375,5796.47021484375,0
2024-08-20,5753.509765625,5830.2099609375,5745.16015625,5825.68994140625,0
2024-08-21,5805.8798828125,5805.990234375,5749.240234375,5774.7900390625,0
2024-08-22,5811.02001953125,5827.18017578125,5798.419921875,5803.77978515625,0
2024-08-23,5936.2099609375,5949.8701171875,5841.81005859375,5844.2099609375,0
2024-08-26,5913.3701171875,5967.64013671875,5907.7099609375,5960.1201171875,0
